Id_habitaciones,Habitaciones,Baños,Puntuacion,Antiguedad,Piso N°,Precio,Área construída (m²),Área privada (m²),Precio_MC,precio_dolar
68,3,4,5,+30,3,980000000,235,235,4170212.77,245000.0
70,4,5,6,1-8,15,1060000000,172,172,6162790.7,265000.0
71,3,3,5,9-15,SinDato,395000000,84,84,4702380.95,98750.0
74,3,5,6,9-15,Otro,1850000000,250,250,7400000.0,462500.0
76,3,2,5,1-8,Otro,350000000,75,75,4666666.67,87500.0
77,3,3,4,16-30,7,275000000,86,86,3197674.42,68750.0
79,3,2,5,9-15,2,420000000,"125,97 ",115,3334127.17,105000.0
80,2,2,4,SinDato,SinDato,320000000,60,0,5333333.33,80000.0
81,1,1,5,1-8,9,180000000,30,30,6000000.0,45000.0
82,2,2,4,16-30,Otro,265000000,54,0,4907407.41,66250.0
83,3,2,5,1-8,Otro,638000000,110,0,5800000.0,159500.0
84,2,2,6,SinDato,SinDato,460000000,74,0,6216216.22,115000.0
85,2,2,3,9-15,5,265000000,55,55,4818181.82,66250.0
87,1,2,4,1-8,3,250000000,62,62,4032258.06,62500.0
88,1,2,6,9-15,SinDato,675000000,105,0,6428571.43,168750.0
90,1,1,5,SinDato,3,235000000,50,0,4700000.0,58750.0
91,1,1,4,SinDato,SinDato,198000000,32,0,6187500.0,49500.0
96,3,4,6,1-8,10,935000000,145,0,6448275.86,233750.0
97,3,2,4,9-15,SinDato,295000000,55,0,5363636.36,73750.0
99,4,5,6,9-15,1,892000000,215,215,4148837.21,223000.0
101,2,2,6,1-8,Otro,340000000,70,0,4857142.86,85000.0
102,3,2,5,16-30,4,350000000,73,73,4794520.55,87500.0
104,3,3,6,SinDato,2,465000000,93,0,5000000.0,116250.0
105,3,2,5,16-30,5,370000000,86,0,4302325.58,92500.0
107,3,2,5,SinDato,8,530000000,93,93,5698924.73,132500.0
110,3,2,6,16-30,14,530000000,102,102,5196078.43,132500.0
114,3,2,4,SinDato,SinDato,405000000,73,0,5547945.21,101250.0
116,3,2,4,SinDato,SinDato,230000000,64,0,3593750.0,57500.0
119,4,3,4,SinDato,SinDato,289000000,77,0,3753246.75,72250.0
120,3,4,5,9-15,Otro,1200000000,215,0,5581395.35,300000.0
122,3,2,6,9-15,4,600000000,95,0,6315789.47,150000.0
123,2,2,3,9-15,SinDato,295000000,52,52,5673076.92,73750.0
124,3,2,5,16-30,3,420000000,90,0,4666666.67,105000.0
125,3,1,3,1-8,11,243000000,65,65,3738461.54,60750.0
127,2,2,4,-1,12,320000000,50,0,6400000.0,80000.0
128,3,4,6,+30,6,980000000,214,214,4579439.25,245000.0
130,1,2,4,1-8,3,250000000,62,62,4032258.06,62500.0
131,1,2,6,9-15,SinDato,675000000,105,0,6428571.43,168750.0
133,1,1,5,SinDato,3,235000000,50,0,4700000.0,58750.0
134,1,1,4,SinDato,SinDato,198000000,32,0,6187500.0,49500.0
136,2,1,3,1-8,Otro,130000000,40,40,3250000.0,32500.0
139,3,3,5,1-8,4,450000000,96,96,4687500.0,112500.0
140,3,2,5,9-15,6,428000000,89,89,4808988.76,107000.0
141,3,3,6,16-30,Otro,430000000,77,0,5584415.58,107500.0
142,3,2,5,9-15,Otro,420000000,72,72,5833333.33,105000.0
144,2,2,6,1-8,Otro,340000000,70,0,4857142.86,85000.0
145,3,4,5,-1,9,1100000000,165,165,6666666.67,275000.0
147,2,1,4,9-15,Otro,200000000,45,45,4444444.44,50000.0
148,4,3,6,16-30,2,469900000,120,120,3915833.33,117475.0
150,3,2,3,1-8,16,226000000,53,53,4264150.94,56500.0
151,3,2,3,9-15,11,280000000,62,62,4516129.03,70000.0
154,2,1,2,-1,2,90000000,65,0,1384615.38,22500.0
156,4,2,5,16-30,3,470000000,105,105,4476190.48,117500.0
157,3,3,6,9-15,3,510000000,97,89,5257731.96,127500.0
159,3,2,3,+30,2,355000000,156,156,2275641.03,88750.0
162,2,2,4,SinDato,3,310000000,"61,39 ",0,5049682.36,77500.0
163,1,1,4,9-15,11,135000000,31,0,4354838.71,33750.0
165,2,3,6,+30,4,519000000,119,119,4361344.54,129750.0
166,3,1,2,SinDato,4,130000000,45,45,2888888.89,32500.0
167,2,2,5,9-15,3,412000000,78,78,5282051.28,103000.0
168,2,2,6,1-8,Otro,625000000,90,0,6944444.44,156250.0
169,4,4,6,16-30,SinDato,950000000,248,248,3830645.16,237500.0
170,4,3,6,16-30,4,590000000,135,135,4370370.37,147500.0
171,3,2,5,1-8,2,440000000,103,0,4271844.66,110000.0
173,1,2,4,1-8,3,250000000,62,62,4032258.06,62500.0
174,1,2,6,9-15,SinDato,675000000,105,0,6428571.43,168750.0
176,1,1,5,SinDato,3,235000000,50,0,4700000.0,58750.0
177,1,1,4,SinDato,SinDato,198000000,32,0,6187500.0,49500.0
179,3,3,6,16-30,4,690000000,167,0,4131736.53,172500.0
182,3,2,6,16-30,Otro,620000000,127,127,4881889.76,155000.0
183,2,1,3,9-15,2,138000000,37,37,3729729.73,34500.0
185,3,3,5,9-15,2,650000000,155,155,4193548.39,162500.0
187,2,2,6,1-8,Otro,340000000,70,0,4857142.86,85000.0
188,3,2,4,1-8,1,220000000,55,55,4000000.0,55000.0
191,3,1,3,16-30,2,220000000,70,70,3142857.14,55000.0
193,3,3,6,16-30,SinDato,470000000,117,0,4017094.02,117500.0
196,3,2,3,1-8,2,270000000,139,0,1942446.04,67500.0
197,2,3,6,1-8,SinDato,880300000,104,0,8464423.08,220075.0
199,2,2,4,1-8,12,480000000,132,132,3636363.64,120000.0
200,3,3,5,SinDato,SinDato,720000000,105,0,6857142.86,180000.0
202,3,2,5,SinDato,7,558000000,98,98,5693877.55,139500.0
206,3,2,4,SinDato,10,250000000,61,0,4098360.66,62500.0
208,3,2,4,9-15,5,290000000,68,0,4264705.88,72500.0
210,3,3,6,9-15,2,700000000,162,162,4320987.65,175000.0
211,2,1,3,1-8,7,127000000,37,0,3432432.43,31750.0
213,4,4,6,16-30,7,735000000,117,117,6282051.28,183750.0
216,1,2,4,1-8,3,250000000,62,62,4032258.06,62500.0
217,1,2,6,9-15,SinDato,675000000,105,0,6428571.43,168750.0
219,1,1,5,SinDato,3,235000000,50,0,4700000.0,58750.0
220,1,1,4,SinDato,SinDato,198000000,32,0,6187500.0,49500.0
222,2,1,3,9-15,5,106000000,39,0,2717948.72,26500.0
225,2,2,5,9-15,Otro,470000000,79,0,5949367.09,117500.0
226,2,2,3,9-15,9,220000000,"50,83 ",51,4328152.67,55000.0
227,3,3,5,-1,8,700000000,123,123,5691056.91,175000.0
228,3,2,4,1-8,1,350000000,82,82,4268292.68,87500.0
230,2,2,6,1-8,Otro,340000000,70,0,4857142.86,85000.0
231,3,3,6,16-30,SinDato,470000000,117,0,4017094.02,117500.0
233,20,2,4,16-30,5,240000000,67,67,3582089.55,60000.0
234,3,3,5,SinDato,SinDato,600000000,122,0,4918032.79,150000.0
236,3,2,4,1-8,Otro,230000000,67,67,3432835.82,57500.0
237,2,1,4,9-15,SinDato,245000000,52,52,4711538.46,61250.0
239,4,3,5,+30,2,360000000,99,0,3636363.64,90000.0
240,2,3,5,SinDato,10,630000000,85,85,7411764.71,157500.0
242,2,1,4,16-30,4,255000000,50,50,5100000.0,63750.0
243,1,1,6,9-15,5,300000000,40,0,7500000.0,75000.0
246,3,4,6,1-8,9,730000000,134,0,5447761.19,182500.0
248,1,1,4,SinDato,3,203000000,32,0,6343750.0,50750.0
249,3,2,5,1-8,Otro,500000000,102,102,4901960.78,125000.0
251,4,5,6,9-15,3,860000000,150,150,5733333.33,215000.0
252,3,3,5,9-15,3,550000000,112,112,4910714.29,137500.0
253,3,3,4,+30,7,450000000,199,0,2261306.53,112500.0
254,2,2,4,SinDato,SinDato,295000000,52,52,5673076.92,73750.0
256,3,2,5,1-8,5,420000000,85,0,4941176.47,105000.0
259,3,2,4,SinDato,SinDato,380000000,110,0,3454545.45,95000.0
260,2,2,4,16-30,Otro,265000000,54,0,4907407.41,66250.0
262,3,2,5,+30,2,580000000,132,132,4393939.39,145000.0
263,3,1,3,1-8,Otro,180000000,47,42,3829787.23,45000.0
265,3,2,5,9-15,4,320000000,75,0,4266666.67,80000.0
268,3,2,4,1-8,1,295000000,63,63,4682539.68,73750.0
269,3,2,4,1-8,6,487500000,105,98,4642857.14,121875.0
270,3,4,6,16-30,SinDato,550000000,132,132,4166666.67,137500.0
273,2,2,6,9-15,Otro,390000000,89,89,4382022.47,97500.0
274,3,2,4,16-30,2,260000000,98,98,2653061.22,65000.0
277,2,4,6,1-8,7,980000000,143,143,6853146.85,245000.0
279,3,2,5,9-15,6,350000000,84,84,4166666.67,87500.0
282,3,4,6,9-15,SinDato,850000000,150,150,5666666.67,212500.0
283,3,2,3,9-15,SinDato,285000000,90,0,3166666.67,71250.0
285,2,2,6,9-15,7,625000000,90,90,6944444.44,156250.0
286,3,3,6,SinDato,SinDato,700000000,174,174,4022988.51,175000.0
288,2,2,5,+30,3,340000000,"71,5 ",0,4755244.76,85000.0
291,3,4,6,1-8,10,840000000,111,111,7567567.57,210000.0
292,3,2,3,SinDato,SinDato,190000000,52,0,3653846.15,47500.0
294,4,3,5,9-15,7,485000000,98,98,4948979.59,121250.0
295,2,3,5,1-8,10,630000000,85,0,7411764.71,157500.0
296,2,1,3,9-15,Otro,147000000,40,40,3675000.0,36750.0
297,4,4,6,16-30,10,565000000,126,126,4484126.98,141250.0
298,3,2,3,16-30,SinDato,180000000,57,57,3157894.74,45000.0
299,1,2,6,1-8,11,430000000,55,55,7818181.82,107500.0
300,2,2,4,1-8,4,550000000,100,0,5500000.0,137500.0
302,1,2,4,1-8,3,250000000,62,62,4032258.06,62500.0
303,1,2,6,9-15,SinDato,675000000,105,0,6428571.43,168750.0
305,1,1,5,SinDato,3,235000000,50,0,4700000.0,58750.0
306,1,1,4,SinDato,SinDato,198000000,32,0,6187500.0,49500.0
308,4,3,4,16-30,3,320000000,109,0,2935779.82,80000.0
311,2,1,5,16-30,1,320000000,66,66,4848484.85,80000.0
312,3,3,5,+30,SinDato,660000000,165,0,4000000.0,165000.0
316,2,2,6,1-8,Otro,340000000,70,0,4857142.86,85000.0
317,3,2,5,1-8,SinDato,510000000,88,88,5795454.55,127500.0
319,3,2,4,1-8,SinDato,405000000,76,0,5328947.37,101250.0
320,2,3,6,1-8,10,630000000,94,0,6702127.66,157500.0
323,3,2,4,1-8,Otro,247000000,57,0,4333333.33,61750.0
325,3,3,3,SinDato,SinDato,670000000,127,0,5275590.55,167500.0
326,3,2,3,SinDato,3,265000000,68,0,3897058.82,66250.0
328,3,2,5,1-8,14,345000000,67,0,5149253.73,86250.0
329,2,2,6,SinDato,9,1200000000,104,104,11538461.54,300000.0
331,3,3,6,9-15,Otro,850000000,150,0,5666666.67,212500.0
332,3,2,5,1-8,2,435000000,84,84,5178571.43,108750.0
334,1,1,6,1-8,SinDato,310000000,40,0,7750000.0,77500.0
335,3,2,6,16-30,7,510000000,"99,66 ",0,5117399.16,127500.0
337,5,3,6,9-15,4,620000000,138,138,4492753.62,155000.0
338,2,2,4,1-8,Otro,423000000,75,75,5640000.0,105750.0
339,2,3,6,+30,4,519000000,119,119,4361344.54,129750.0
340,3,4,6,9-15,SinDato,850000000,150,150,5666666.67,212500.0
341,4,5,6,1-8,Otro,900000000,"147,8 ",148,6089309.88,225000.0
342,3,5,6,SinDato,Otro,1650000000,258,258,6395348.84,412500.0
343,3,2,6,-1,Otro,530000000,"76,54 ",70,6924483.93,132500.0
345,3,2,4,SinDato,SinDato,380000000,110,0,3454545.45,95000.0
346,2,2,4,16-30,Otro,265000000,54,0,4907407.41,66250.0
348,3,2,5,+30,2,580000000,132,132,4393939.39,145000.0
349,3,1,3,1-8,Otro,180000000,47,42,3829787.23,45000.0
351,3,4,6,1-8,Otro,900000000,135,135,6666666.67,225000.0
354,3,2,5,9-15,Otro,430000000,80,80,5375000.0,107500.0
355,3,3,6,16-30,2,695000000,155,150,4483870.97,173750.0
356,3,2,5,9-15,11,377000000,77,77,4896103.9,94250.0
357,3,3,5,SinDato,1,580000000,140,0,4142857.14,145000.0
359,2,2,6,9-15,Otro,390000000,89,89,4382022.47,97500.0
360,3,2,4,9-15,14,465000000,84,84,5535714.29,116250.0
362,3,2,6,9-15,7,390000000,70,70,5571428.57,97500.0
363,3,2,5,1-8,Otro,498000000,84,84,5928571.43,124500.0
365,3,2,5,1-8,Otro,590000000,87,0,6781609.2,147500.0
366,3,1,3,SinDato,SinDato,180000000,77,77,2337662.34,45000.0
368,4,5,6,16-30,7,1600000000,342,342,4678362.57,400000.0
371,3,3,5,SinDato,4,380000000,106,106,3584905.66,95000.0
372,3,3,5,SinDato,10,730000000,194,165,3762886.6,182500.0
374,3,4,6,SinDato,9,870000000,123,123,7073170.73,217500.0
375,3,3,5,SinDato,8,700000000,152,152,4605263.16,175000.0
377,3,2,5,SinDato,7,355000000,71,71,5000000.0,88750.0
378,2,2,4,1-8,5,275000000,55,53,5000000.0,68750.0
380,3,2,3,+30,4,220000000,78,0,2820512.82,55000.0
381,5,6,6,9-15,16,1648000000,368,368,4478260.87,412000.0
382,3,2,5,SinDato,SinDato,480000000,140,0,3428571.43,120000.0
383,3,3,6,1-8,SinDato,1600000000,160,160,10000000.0,400000.0
384,2,2,6,1-8,Otro,470000000,65,65,7230769.23,117500.0
385,3,3,6,SinDato,SinDato,1165000000,161,0,7236024.84,291250.0
386,3,3,6,9-15,4,687000000,104,0,6605769.23,171750.0
388,3,2,4,SinDato,SinDato,380000000,110,0,3454545.45,95000.0
389,2,2,4,16-30,Otro,265000000,54,0,4907407.41,66250.0
391,3,2,5,+30,2,580000000,132,132,4393939.39,145000.0
392,3,1,3,1-8,Otro,180000000,47,42,3829787.23,45000.0
394,3,2,3,1-8,SinDato,180000000,57,57,3157894.74,45000.0
398,2,1,3,1-8,1,145000000,39,39,3717948.72,36250.0
399,3,2,4,SinDato,9,240000000,54,54,4444444.44,60000.0
400,3,3,6,1-8,13,670000000,104,104,6442307.69,167500.0
402,2,2,6,9-15,Otro,390000000,89,89,4382022.47,97500.0
403,3,2,4,9-15,6,487500000,98,98,4974489.8,121875.0
405,3,2,6,9-15,9,687000000,104,104,6605769.23,171750.0
406,1,1,6,16-30,1,260000000,28,28,9285714.29,65000.0
408,1,1,3,1-8,16,150000000,30,30,5000000.0,37500.0
409,3,4,6,16-30,5,690000000,167,167,4131736.53,172500.0
411,3,2,5,9-15,1,340000000,72,72,4722222.22,85000.0
412,3,2,4,9-15,2,330000000,85,85,3882352.94,82500.0
414,3,2,4,9-15,3,520000000,99,93,5252525.25,130000.0
415,2,2,5,1-8,14,460000000,80,0,5750000.0,115000.0
417,3,2,5,9-15,2,420000000,115,0,3652173.91,105000.0
418,3,2,4,1-8,12,445000000,77,74,5779220.78,111250.0
420,3,4,6,+30,7,1200000000,330,0,3636363.64,300000.0
421,3,4,6,1-8,1,1350000000,217,217,6221198.16,337500.0
423,2,3,6,SinDato,SinDato,543000000,120,0,4525000.0,135750.0
425,3,1,3,1-8,16,170000000,48,48,3541666.67,42500.0
426,3,3,4,9-15,5,407500000,92,92,4429347.83,101875.0
427,2,1,4,9-15,15,165000000,42,42,3928571.43,41250.0
428,3,2,4,16-30,3,395000000,75,75,5266666.67,98750.0
429,3,3,5,+30,3,470000000,112,112,4196428.57,117500.0
