Unnamed: 0,Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
17,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
18,3.0,3.0,6.0,SinDato,SinDato,SinDato,"$ 6.461.538,46*m²",SinDato,SinDato,SinDato,840000000,130,130
19,3.0,2.0,5.0,16 a 30 años,4,SinDato,"$ 3.698.630,14*m²",1.0,Bueno,SinDato,270000000,73,0
20,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
21,2.0,2.0,4.0,SinDato,SinDato,$ 230.000 COP,"$ 5.333.333,33*m²",1.0,SinDato,SinDato,320000000,60,0
22,3.0,3.0,4.0,16 a 30 años,7,$ 311.000 COP,"$ 3.197.674,42*m²",1.0,SinDato,SinDato,275000000,86,86
23,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
24,2.0,2.0,4.0,16 a 30 años,11,SinDato,"$ 4.081.632,65*m²",SinDato,SinDato,SinDato,200000000,49,0
25,3.0,2.0,5.0,1 a 8 años,Otro,$ 281.000 COP,"$ 6.798.801,57*m²",1.0,Excelente,SinDato,590000000,"86,78 ",87
26,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
27,5.0,5.0,4.0,más de 30 años,Otro,$ 843.000 COP,"$ 2.188.552,19*m²",1.0,Excelente,SinDato,650000000,297,297
28,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,214626000,SinDato,SinDato
29,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
30,3.0,2.0,5.0,1 a 8 años,Otro,$ 450.000 COP,$ 5.800.000*m²,2.0,Excelente,PentHouse,638000000,110,0
31,3.0,3.0,5.0,9 a 15 años,SinDato,$ 320.000 COP,"$ 4.702.380,95*m²",1.0,SinDato,SinDato,395000000,84,84
32,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
33,4.0,5.0,6.0,9 a 15 años,7,$ 900.000 COP,"$ 4.280.155,64*m²",2.0,Excelente,Duplex,1100000000,257,257
34,1.0,1.0,5.0,1 a 8 años,9,$ 65.500 COP,$ 6.000.000*m²,SinDato,Excelente,Loft,180000000,30,30
35,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,825894200,SinDato,SinDato
36,3.0,4.0,5.0,más de 30 años,3,$ 607.000 COP,"$ 4.170.212,77*m²",1.0,Excelente,Duplex,980000000,235,235
37,3.0,5.0,6.0,9 a 15 años,Otro,$ 1.050.000 COP,$ 7.400.000*m²,3.0,SinDato,SinDato,1850000000,250,250
38,3.0,2.0,3.0,1 a 8 años,SinDato,$ 163.000 COP,$ 4.200.000*m²,SinDato,SinDato,SinDato,210000000,50,0
39,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,SinDato,265000000,54,0
40,4.0,3.0,4.0,16 a 30 años,4,SinDato,"$ 3.465.116,28*m²",1.0,SinDato,SinDato,298000000,86,86
41,3.0,2.0,5.0,1 a 8 años,Otro,$ 218.000 COP,"$ 4.666.666,67*m²",1.0,Bueno,SinDato,350000000,75,75
42,2.0,2.0,6.0,SinDato,SinDato,$ 320.000 COP,"$ 6.216.216,22*m²",1.0,SinDato,SinDato,460000000,74,0
43,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
44,1.0,2.0,4.0,1 a 8 años,3,SinDato,"$ 4.032.258,06*m²",SinDato,SinDato,SinDato,250000000,62,62
45,1.0,2.0,6.0,9 a 15 años,SinDato,SinDato,"$ 6.428.571,43*m²",2.0,SinDato,SinDato,675000000,105,0
46,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
47,1.0,1.0,5.0,SinDato,3,$ 167.000 COP,$ 4.700.000*m²,2.0,SinDato,SinDato,235000000,50,0
48,1.0,1.0,4.0,SinDato,SinDato,SinDato,$ 6.187.500*m²,1.0,Excelente,SinDato,198000000,32,0
49,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
50,3.0,2.0,5.0,1 a 8 años,Otro,$ 281.000 COP,"$ 6.798.801,57*m²",1.0,Excelente,SinDato,590000000,"86,78 ",87
51,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
52,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
53,3.0,2.0,3.0,1 a 8 años,SinDato,$ 163.000 COP,$ 4.200.000*m²,SinDato,SinDato,SinDato,210000000,50,0
54,3.0,3.0,4.0,9 a 15 años,1,$ 244.000 COP,"$ 4.487.099,59*m²",1.0,Excelente,Duplex,360000000,"80,23 ","80,23 "
55,4.0,3.0,4.0,16 a 30 años,4,SinDato,"$ 3.465.116,28*m²",1.0,SinDato,SinDato,298000000,86,86
56,5.0,5.0,4.0,más de 30 años,Otro,$ 843.000 COP,"$ 2.188.552,19*m²",1.0,Excelente,SinDato,650000000,297,297
57,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
58,2.0,2.0,6.0,1 a 8 años,Otro,SinDato,"$ 4.857.142,86*m²",1.0,SinDato,SinDato,340000000,70,0
59,4.0,5.0,6.0,9 a 15 años,7,$ 900.000 COP,"$ 4.280.155,64*m²",2.0,Excelente,Duplex,1100000000,257,257
60,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
61,2.0,2.0,4.0,16 a 30 años,11,SinDato,"$ 4.081.632,65*m²",SinDato,SinDato,SinDato,200000000,49,0
62,2.0,2.0,6.0,menor a 1 año,Otro,$ 180.000 COP,$ 7.421.875*m²,1.0,Excelente,SinDato,475000000,64,64
63,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
64,3.0,3.0,6.0,SinDato,SinDato,SinDato,"$ 6.461.538,46*m²",SinDato,SinDato,SinDato,840000000,130,130
65,3.0,2.0,5.0,9 a 15 años,2,$ 60.000 COP,"$ 4.551.282,05*m²",1.0,SinDato,SinDato,355000000,78,0
66,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
67,3.0,2.0,5.0,16 a 30 años,4,SinDato,"$ 3.698.630,14*m²",1.0,Bueno,SinDato,270000000,73,0
68,3.0,4.0,5.0,más de 30 años,3,$ 607.000 COP,"$ 4.170.212,77*m²",1.0,Excelente,Duplex,980000000,235,235
69,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
70,4.0,5.0,6.0,1 a 8 años,15,$ 650.000 COP,"$ 6.162.790,7*m²",2.0,Excelente,SinDato,1060000000,172,172
71,3.0,3.0,5.0,9 a 15 años,SinDato,$ 320.000 COP,"$ 4.702.380,95*m²",1.0,SinDato,SinDato,395000000,84,84
72,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
73,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,214626000,SinDato,SinDato
74,3.0,5.0,6.0,9 a 15 años,Otro,$ 1.050.000 COP,$ 7.400.000*m²,3.0,SinDato,SinDato,1850000000,250,250
75,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
76,3.0,2.0,5.0,1 a 8 años,Otro,$ 218.000 COP,"$ 4.666.666,67*m²",1.0,Bueno,SinDato,350000000,75,75
77,3.0,3.0,4.0,16 a 30 años,7,$ 311.000 COP,"$ 3.197.674,42*m²",1.0,SinDato,SinDato,275000000,86,86
78,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,825894200,SinDato,SinDato
79,3.0,2.0,5.0,9 a 15 años,2,SinDato,"$ 3.334.127,17*m²",SinDato,Bueno,SinDato,420000000,"125,97 ",115
80,2.0,2.0,4.0,SinDato,SinDato,$ 230.000 COP,"$ 5.333.333,33*m²",1.0,SinDato,SinDato,320000000,60,0
81,1.0,1.0,5.0,1 a 8 años,9,$ 65.500 COP,$ 6.000.000*m²,SinDato,Excelente,Loft,180000000,30,30
82,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,SinDato,265000000,54,0
83,3.0,2.0,5.0,1 a 8 años,Otro,$ 450.000 COP,$ 5.800.000*m²,2.0,Excelente,PentHouse,638000000,110,0
84,2.0,2.0,6.0,SinDato,SinDato,$ 320.000 COP,"$ 6.216.216,22*m²",1.0,SinDato,SinDato,460000000,74,0
85,2.0,2.0,3.0,9 a 15 años,5,$ 40.000 COP,"$ 4.818.181,82*m²",1.0,Excelente,Duplex,265000000,55,55
86,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
87,1.0,2.0,4.0,1 a 8 años,3,SinDato,"$ 4.032.258,06*m²",SinDato,SinDato,SinDato,250000000,62,62
88,1.0,2.0,6.0,9 a 15 años,SinDato,SinDato,"$ 6.428.571,43*m²",2.0,SinDato,SinDato,675000000,105,0
89,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
90,1.0,1.0,5.0,SinDato,3,$ 167.000 COP,$ 4.700.000*m²,2.0,SinDato,SinDato,235000000,50,0
91,1.0,1.0,4.0,SinDato,SinDato,SinDato,$ 6.187.500*m²,1.0,Excelente,SinDato,198000000,32,0
92,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
93,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,620000000,SinDato,SinDato
94,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
95,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
96,3.0,4.0,6.0,1 a 8 años,10,$ 546.167 COP,"$ 6.448.275,86*m²",2.0,SinDato,SinDato,935000000,145,0
97,3.0,2.0,4.0,9 a 15 años,SinDato,$ 230.652 COP,"$ 5.363.636,36*m²",1.0,SinDato,SinDato,295000000,55,0
98,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,250000000,SinDato,SinDato
99,4.0,5.0,6.0,9 a 15 años,1,$ 550.000 COP,"$ 4.148.837,21*m²",2.0,SinDato,SinDato,892000000,215,215
100,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
101,2.0,2.0,6.0,1 a 8 años,Otro,SinDato,"$ 4.857.142,86*m²",1.0,SinDato,SinDato,340000000,70,0
102,3.0,2.0,5.0,16 a 30 años,4,$ 310.000 COP,"$ 4.794.520,55*m²",2.0,SinDato,SinDato,350000000,73,73
103,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
104,3.0,3.0,6.0,SinDato,2,$ 360.000 COP,$ 5.000.000*m²,1.0,SinDato,SinDato,465000000,93,0
105,3.0,2.0,5.0,16 a 30 años,5,$ 250.000 COP,"$ 4.302.325,58*m²",1.0,SinDato,SinDato,370000000,86,0
106,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
107,3.0,2.0,5.0,SinDato,8,$ 390.000 COP,"$ 5.698.924,73*m²",1.0,SinDato,SinDato,530000000,93,93
108,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,148000000,SinDato,SinDato
109,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
110,3.0,2.0,6.0,16 a 30 años,14,$ 418.000 COP,"$ 5.196.078,43*m²",1.0,Bueno,SinDato,530000000,102,102
111,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,365000000,SinDato,SinDato
112,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
113,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,160000000,SinDato,SinDato
114,3.0,2.0,4.0,SinDato,SinDato,$ 280.000 COP,"$ 5.547.945,21*m²",1.0,SinDato,SinDato,405000000,73,0
115,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
116,3.0,2.0,4.0,SinDato,SinDato,$ 1 COP,$ 3.593.750*m²,1.0,SinDato,Loft,230000000,64,0
117,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,410000000,SinDato,SinDato
118,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
119,4.0,3.0,4.0,SinDato,SinDato,SinDato,"$ 3.753.246,75*m²",1.0,Excelente,SinDato,289000000,77,0
120,3.0,4.0,5.0,9 a 15 años,Otro,$ 700.000 COP,"$ 5.581.395,35*m²",2.0,Excelente,PentHouse,1200000000,215,0
121,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,200000000,SinDato,SinDato
122,3.0,2.0,6.0,9 a 15 años,4,$ 530.000 COP,"$ 6.315.789,47*m²",2.0,SinDato,SinDato,600000000,95,0
123,2.0,2.0,3.0,9 a 15 años,SinDato,$ 190.000 COP,"$ 5.673.076,92*m²",SinDato,SinDato,SinDato,295000000,52,52
124,3.0,2.0,5.0,16 a 30 años,3,$ 368.000 COP,"$ 4.666.666,67*m²",1.0,SinDato,SinDato,420000000,90,0
125,3.0,1.0,3.0,1 a 8 años,11,$ 217.840 COP,"$ 3.738.461,54*m²",SinDato,Bueno,SinDato,243000000,65,65
126,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,250000000,SinDato,SinDato
127,2.0,2.0,4.0,menor a 1 año,12,SinDato,$ 6.400.000*m²,1.0,Excelente,SinDato,320000000,50,0
128,3.0,4.0,6.0,más de 30 años,6,$ 1.000.000 COP,"$ 4.579.439,25*m²",3.0,Excelente,SinDato,980000000,214,214
129,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
130,1.0,2.0,4.0,1 a 8 años,3,SinDato,"$ 4.032.258,06*m²",SinDato,SinDato,SinDato,250000000,62,62
131,1.0,2.0,6.0,9 a 15 años,SinDato,SinDato,"$ 6.428.571,43*m²",2.0,SinDato,SinDato,675000000,105,0
132,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
133,1.0,1.0,5.0,SinDato,3,$ 167.000 COP,$ 4.700.000*m²,2.0,SinDato,SinDato,235000000,50,0
134,1.0,1.0,4.0,SinDato,SinDato,SinDato,$ 6.187.500*m²,1.0,Excelente,SinDato,198000000,32,0
135,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
136,2.0,1.0,3.0,1 a 8 años,Otro,$ 60.000 COP,$ 3.250.000*m²,SinDato,Excelente,SinDato,130000000,40,40
137,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
138,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
139,3.0,3.0,5.0,1 a 8 años,4,$ 220.000 COP,$ 4.687.500*m²,1.0,Excelente,SinDato,450000000,96,96
140,3.0,2.0,5.0,9 a 15 años,6,$ 363.000 COP,"$ 4.808.988,76*m²",2.0,Excelente,SinDato,428000000,89,89
141,3.0,3.0,6.0,16 a 30 años,Otro,$ 330.000 COP,"$ 5.584.415,58*m²",1.0,Excelente,SinDato,430000000,77,0
142,3.0,2.0,5.0,9 a 15 años,Otro,$ 267.000 COP,"$ 5.833.333,33*m²",1.0,Excelente,SinDato,420000000,72,72
143,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
144,2.0,2.0,6.0,1 a 8 años,Otro,SinDato,"$ 4.857.142,86*m²",1.0,SinDato,SinDato,340000000,70,0
145,3.0,4.0,5.0,menor a 1 año,9,$ 300.000 COP,"$ 6.666.666,67*m²",2.0,Excelente,SinDato,1100000000,165,165
146,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
147,2.0,1.0,4.0,9 a 15 años,Otro,$ 103.000 COP,"$ 4.444.444,44*m²",SinDato,SinDato,SinDato,200000000,45,45
148,4.0,3.0,6.0,16 a 30 años,2,SinDato,"$ 3.915.833,33*m²",1.0,Bueno,SinDato,469900000,120,120
149,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
150,3.0,2.0,3.0,1 a 8 años,16,$ 150.000 COP,"$ 4.264.150,94*m²",1.0,Excelente,Loft,226000000,53,53
151,3.0,2.0,3.0,9 a 15 años,11,$ 230.000 COP,"$ 4.516.129,03*m²",1.0,Bueno,SinDato,280000000,62,62
152,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
153,1.0,SinDato,6.0,1 a 8 años,5,SinDato,$ 7.000.000*m²,2.0,SinDato,SinDato,490000000,70,70
154,2.0,1.0,2.0,menor a 1 año,2,SinDato,"$ 1.384.615,38*m²",SinDato,Excelente,SinDato,90000000,65,0
155,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
156,4.0,2.0,5.0,16 a 30 años,3,$ 451.800 COP,"$ 4.476.190,48*m²",2.0,SinDato,SinDato,470000000,105,105
157,3.0,3.0,6.0,9 a 15 años,3,$ 528.000 COP,"$ 5.257.731,96*m²",2.0,Excelente,SinDato,510000000,97,89
158,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
159,3.0,2.0,3.0,más de 30 años,2,SinDato,"$ 2.275.641,03*m²",SinDato,Excelente,SinDato,355000000,156,156
160,SinDato,SinDato,5.0,SinDato,SinDato,SinDato,"$ 6.153.846,15*m²",SinDato,SinDato,SinDato,800000000,130,0
161,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
162,2.0,2.0,4.0,SinDato,3,SinDato,"$ 5.049.682,36*m²",1.0,Excelente,SinDato,310000000,"61,39 ",0
163,1.0,1.0,4.0,9 a 15 años,11,$ 178.300 COP,"$ 4.354.838,71*m²",SinDato,SinDato,SinDato,135000000,31,0
164,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,200000000,SinDato,SinDato
165,2.0,3.0,6.0,más de 30 años,4,$ 596.300 COP,"$ 4.361.344,54*m²",1.0,Excelente,PentHouse,519000000,119,119
166,3.0,1.0,2.0,SinDato,4,SinDato,"$ 2.888.888,89*m²",SinDato,SinDato,SinDato,130000000,45,45
167,2.0,2.0,5.0,9 a 15 años,3,$ 300.000 COP,"$ 5.282.051,28*m²",1.0,SinDato,SinDato,412000000,78,78
168,2.0,2.0,6.0,1 a 8 años,Otro,$ 360.000 COP,"$ 6.944.444,44*m²",2.0,Excelente,SinDato,625000000,90,0
169,4.0,4.0,6.0,16 a 30 años,SinDato,$ 725.000 COP,"$ 3.830.645,16*m²",2.0,SinDato,SinDato,950000000,248,248
170,4.0,3.0,6.0,16 a 30 años,4,$ 450.000 COP,"$ 4.370.370,37*m²",2.0,SinDato,SinDato,590000000,135,135
171,3.0,2.0,5.0,1 a 8 años,2,$ 495.000 COP,"$ 4.271.844,66*m²",1.0,SinDato,SinDato,440000000,103,0
172,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
173,1.0,2.0,4.0,1 a 8 años,3,SinDato,"$ 4.032.258,06*m²",SinDato,SinDato,SinDato,250000000,62,62
174,1.0,2.0,6.0,9 a 15 años,SinDato,SinDato,"$ 6.428.571,43*m²",2.0,SinDato,SinDato,675000000,105,0
175,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
176,1.0,1.0,5.0,SinDato,3,$ 167.000 COP,$ 4.700.000*m²,2.0,SinDato,SinDato,235000000,50,0
177,1.0,1.0,4.0,SinDato,SinDato,SinDato,$ 6.187.500*m²,1.0,Excelente,SinDato,198000000,32,0
178,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
179,3.0,3.0,6.0,16 a 30 años,4,$ 750.000 COP,"$ 4.131.736,53*m²",2.0,Bueno,SinDato,690000000,167,0
180,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
181,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
182,3.0,2.0,6.0,16 a 30 años,Otro,$ 620.000 COP,"$ 4.881.889,76*m²",2.0,Excelente,SinDato,620000000,127,127
183,2.0,1.0,3.0,9 a 15 años,2,SinDato,"$ 3.729.729,73*m²",SinDato,Bueno,SinDato,138000000,37,37
184,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,390000000,SinDato,SinDato
185,3.0,3.0,5.0,9 a 15 años,2,$ 456.600 COP,"$ 4.193.548,39*m²",1.0,Excelente,SinDato,650000000,155,155
186,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
187,2.0,2.0,6.0,1 a 8 años,Otro,SinDato,"$ 4.857.142,86*m²",1.0,SinDato,SinDato,340000000,70,0
188,3.0,2.0,4.0,1 a 8 años,1,$ 172.000 COP,$ 4.000.000*m²,SinDato,SinDato,SinDato,220000000,55,55
189,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
190,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,539000000,SinDato,SinDato
191,3.0,1.0,3.0,16 a 30 años,2,SinDato,"$ 3.142.857,14*m²",SinDato,Bueno,SinDato,220000000,70,70
192,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
193,3.0,3.0,6.0,16 a 30 años,SinDato,$ 592.800 COP,"$ 4.017.094,02*m²",2.0,SinDato,SinDato,470000000,117,0
194,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,400000000,SinDato,SinDato
195,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
196,3.0,2.0,3.0,1 a 8 años,2,SinDato,"$ 1.942.446,04*m²",SinDato,Excelente,SinDato,270000000,139,0
197,2.0,3.0,6.0,1 a 8 años,SinDato,$ 573.265 COP,"$ 8.464.423,08*m²",2.0,SinDato,SinDato,880300000,104,0
198,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
199,2.0,2.0,4.0,1 a 8 años,12,SinDato,"$ 3.636.363,64*m²",SinDato,Bueno,SinDato,480000000,132,132
200,3.0,3.0,5.0,SinDato,SinDato,SinDato,"$ 6.857.142,86*m²",1.0,Excelente,SinDato,720000000,105,0
